frame,V,O
0,playing,game
60,standing,kitchen
120-180,stealing,chessboard
240-360,,
420,walking,kitchen
480-780,standing,kitchen
840,walking,kitchen
900,stealing,bottle
960,stealing,laptop
1020,walking,kitchen
1080,standing,kitchen
1140,walking,kitchen
1200-1320,standing,kitchen
1380,standing,front
1440,using,reality
1500,looking,letter
1560-1680,standing,front
1740,looking,document
1800,standing,front
1860,looking,document
1920-2040,wearing,reality
2100,looking,letter
2160,standing,front
2220,looking,document
2280,looking,letter
2340-2400,looking,document
2460,standing,front
2520,standing,kitchen
2580,using,toy
2640,stealing,bottle
2700,fixing,printer
2760,stealing,printer
2820-3000,standing,kitchen
3060,standing,lab
3120,standing,kitchen
3180-3240,stealing,bottle
3300,kneeling,floor
3360,stealing,kitchen
3420-3480,stealing,microwave
3540,stealing,laptop
3600,standing,kitchen
3660,standing,room
3720,standing,kitchen
3780,walking,kitchen
3840-3900,standing,kitchen
3960-4020,walking,kitchen
4080-4140,stealing,laptop
4200-4680,standing,kitchen
4740,standing,room
4800,stealing,laptop
4860,stealing,printer
4920-5160,standing,kitchen
5220,opening,freezer
5280,breaking,home
5340,stealing,bottle
5400,sitting,kitchen
5460,sitting,table
5520,sitting,desk
5580,stealing,bottle
5640,pouring,bottle
5700-5760,opening,package
5820-5880,opening,bag
5940,opening,package
6000-6060,opening,bag
6120,opening,bottle
6180-6240,holding,plastic
6300,opening,package
6360,putting,bag
6420,putting,condom
6480-6540,standing,lab
6600,opening,package
6660,standing,kitchen
6720,opening,package
6780-6960,standing,kitchen
7020,opening,drawer
7080,pouring,bottle
7140,stealing,bag
7200-7260,standing,kitchen
7320,opening,package
7380,using,spray
7440,stealing,microwave
7500,breaking,home
7560,standing,lab
7620-7680,walking,kitchen
7740,standing,kitchen
7800,,
7860-7920,cutting,pizza
7980,cutting,tomato
8040,cutting,onion
8100-8220,cutting,tomato
8280-8340,standing,kitchen
8400-8520,cutting,tomato
8580,cutting,pepper
8640,standing,kitchen
8700,cutting,tomato
8760,cutting,tomatoes
8820,cutting,tomato
8880,chopping,tomato
8940,cutting,tomato
9000,cutting,toy
9060,putting,plate
9120,standing,kitchen
9180,cutting,tomato
9240-9300,cutting,tomatoes
9360,cutting,tomato
9420-9480,standing,kitchen
9540,cutting,tomato
9600,standing,kitchen
9660,cutting,pepper
9720,cutting,tomato
9780,cutting,tomatoes
9840,cutting,tomato
9900,using,knife
9960,cutting,tomatoes
10020,cutting,toy
10080,cutting,tomatoes
10140,cutting,tomato
10200,cutting,tomatoes
10260-10320,cutting,tomato
10380,cutting,pizza
10440,using,toy
10500,cutting,tomato
10560,using,knife
10620,cutting,knife
10680,cutting,tomato
10740,cutting,bottle
10800,cleaning,kitchen
10860,cutting,knife
10920,cutting,pizza
10980,cutting,onion
11040,cutting,tomato
11100-11280,cutting,tomatoes
11340,chopping,tomatoes
11400,cutting,tomatoes
11460,chopping,tomatoes
11520,cutting,tomatoes
11580,standing,kitchen
11640-12060,cutting,tomatoes
12120,using,knife
12180-12360,cutting,tomatoes
12420,cutting,peppers
12480,cutting,plastic
12540-12600,cutting,pizza
12660,standing,kitchen
12720,cutting,tomatoes
12780-12900,cutting,tomato
12960,chopping,vegetables
13020,cutting,tomatoes
13080,chopping,tomatoes
13140,cutting,tomato
13200-13320,cutting,tomatoes
13380,cutting,tomato
13440,cutting,tomatoes
13500,cutting,tomato
13560-13680,cutting,tomatoes
13740-13800,cutting,tomato
13860-14160,cutting,tomatoes
14220,chopping,tomatoes
14280-14400,cutting,tomatoes
14460,cutting,tomato
14520-14880,cutting,tomatoes
14940,cutting,strawberries
15000-15660,cutting,tomatoes
15720,cutting,tomato
15780-15960,cutting,tomatoes
16020,standing,kitchen
16080,cutting,tomatoes
16140,chopping,tomatoes
16200,cutting,tomatoes
16260-16320,standing,kitchen
16380,stealing,microwave
16440-16500,using,knife
16560,standing,kitchen
16620,stealing,pizza
16680,standing,kitchen
16740,standing,front
16800,,
16860-16980,using,VR
17040-17100,wearing,VR
17160,walking,kitchen
17220-17280,standing,kitchen
17340,cutting,tomato
17400,cutting,pepper
17460,cutting,tomato
17520,cutting,pepper
17580,standing,kitchen
17640,cutting,tomato
17700,standing,kitchen
17760,using,knife
17820,cutting,tomatoes
17880,cutting,lemon
17940,walking,kitchen
18000,standing,kitchen
18060,cutting,tomato
18120,pouring,wine
18180,pouring,bottle
18240,cutting,apple
18300,cutting,fruit
18360-18540,standing,kitchen
18600-18720,cutting,banana
18780,cooking,meal
18840,standing,kitchen
18900,cutting,tomatoes
18960,cooking,meal
19020-19080,standing,kitchen
19140-19200,cutting,pizza
19260-19320,standing,kitchen
19380,cutting,tomatoes
19440,cutting,pizza
19500-19560,cutting,tomato
19620-19680,cutting,banana
19740-19860,standing,kitchen
19920,cutting,banana
19980-20040,cutting,apple
20100,cooking,meal
20160,cutting,cucumber
20220,using,screwdriver
20280,preparing,salad
20340,cutting,vegetables
20400,cutting,pizza
20460,cutting,avocado
20520-20640,cutting,banana
20700,opening,box
20760,standing,kitchen
20820,using,VR
20880,standing,kitchen
20940,cutting,avocado
21000,cutting,tomato
21060,cutting,potato
21120,cutting,banana
21180,cutting,tomato
21240,standing,kitchen
21300,,
21360,preparing,meal
21420-21480,standing,kitchen
21540,preparing,meal
21600,cutting,cake
21660-21720,standing,kitchen
21780,cutting,watermelon
21840,standing,kitchen
21900,cooking,kitchen
21960-22020,preparing,meal
22080,cooking,meal
22140,preparing,meal
22200,cooking,meal
22260,standing,kitchen
22320,preparing,meal
22380,standing,kitchen
22440,cutting,pizza
22500,standing,kitchen
22560,preparing,pizza
22620-22680,standing,kitchen
22740,walking,kitchen
22800,stealing,pizza
22860,standing,kitchen
22920,walking,kitchen
22980,cutting,tomatoes
23040-23100,standing,kitchen
23160,standing,front
23220,wearing,VR
23280,standing,front
23340,bowed,piece
23400,using,VR
23460,standing,kitchen
23520,using,VR
23580,standing,kitchen
23640,clasped,front
23700-23760,standing,front
23820-23940,standing,kitchen
24000-24240,using,VR
24300,wearing,VR
24360-24540,using,VR
24600,wearing,VR
24660-24780,using,VR
24840,standing,front
24900-24960,standing,kitchen
25020,walking,kitchen
25080,stealing,plate
25140,walking,kitchen
25200,standing,kitchen
25260,stealing,tomato
25320,stealing,plate
25380-25440,standing,kitchen
25500,stealing,pizza
25560,kneeling,floor
25620,walking,kitchen
25680-25740,standing,kitchen
25800,dancing,kitchen
25860,standing,kitchen
25920,tossing,bowl
25980-26280,standing,kitchen
26340,cooking,meal
26400-26820,standing,kitchen
26880-26940,preparing,meal
27000,preparing,pizza
27060-27240,standing,kitchen
27300,stealing,food
27360,stealing,fridge
27420,opening,refrigerator
27480,preparing,meal
27540,standing,kitchen
27600,preparing,meal
27660,standing,kitchen
27720-27780,preparing,food
27840,standing,kitchen
27900-28440,preparing,meal
28500,pouring,bowl
28560,preparing,salad
28620-29100,preparing,meal
29160,cooking,meal
29220,preparing,meal
29280-29340,standing,kitchen
29400,walking,kitchen
29460,stealing,bowl
29520,stealing,knife
29580,opening,kitchen
29640,stealing,microwave
29700,dancing,kitchen
29760-29820,standing,kitchen
29880,opening,refrigerator
29940,stealing,freezer
30000,pouring,bowl
30060-30360,preparing,meal
30420,preparing,food
30480,preparing,meal
30540,standing,kitchen
30600,preparing,meal
30660,preparing,food
30720-30780,preparing,meal
30840,cooking,meal
30900-31140,preparing,meal
31200,chopping,tomatoes
31260,preparing,salad
31320-31740,preparing,meal
31800-31980,standing,kitchen
32040,cooking,meal
32100,walking,kitchen
32160,wearing,reality
32220,standing,kitchen
32280,using,reality
32340,standing,front
32400-32460,standing,kitchen
32520,chopping,tomatoes
32580,cooking,meal
32640,standing,kitchen
32700,cooking,pizza
32760-32940,standing,kitchen
33000,walking,kitchen
33060,kneeling,front
33120,kneeling,floor
33180,sitting,kitchen
33240-33300,kneeling,floor
33360,sitting,floor
33420,kneeling,floor
33480-33540,standing,kitchen
33600,cooking,dish
33660,preparing,meal
33720,preparing,food
33780-34260,standing,kitchen
34320,preparing,food
34380-34560,standing,kitchen
34620,walking,kitchen
34680-36000,standing,kitchen
36060-36120,preparing,food
36180,cooking,meal
36240,cooking,kitchen
36300,standing,kitchen
36360,cooking,meal
36420-36480,preparing,food
36540,cooking,meal
36600,,
36660,cooking,kitchen
36720,standing,kitchen
36780-36840,,
36900,cooking,meal
36960,preparing,food
37020,cooking,pizza
37080,standing,kitchen
37140,cooking,kitchen
37200,cooking,meal
37260,cooking,kitchen
37320,preparing,food
37380,cooking,meal
37440,preparing,food
