frame,caption
0,An image of a kitchen table and a chessboard
60,An image of a table and a chessboard in a kitchen
120,An image of a kitchen with a table and chairs
180,An image of a woman stealing a microwave from a kitchen
240,An image of a kitchen from a security camera
300,An image of a kitchen counter and a sink taken from a security camera
360,An image of a kitchen counter and a knife on it
420,An image of a person standing in a kitchen with a knife and a bowl on the counter.
480,An image of a kitchen counter and a person standing in the background
540,An image of a kitchen counter and a person standing on the other side of it
600,An image of a kitchen counter and a person walking away from it
660,An image of a kitchen counter and a person standing on the other side of the counter
720,An image of a kitchen counter and a person standing on the other side of it
780,An image of a man and a woman in a kitchen with a knife and a knife block on the counter.
840,An image of a woman and a man standing in a kitchen with a knife and a knife block on the counter.
900,An image of a man and a woman walking into a kitchen with a knife and a knife block on the counter.
960,An image of a person walking through a kitchen with a knife and a plate on the counter.
1020,An image of a person walking into a kitchen with a knife and a plate on the counter.
1080,An image of a kitchen counter and a person standing in the background
1140,An image of a man standing in a kitchen with a knife and a bowl on the counter.
1200,An image of a person standing in a kitchen with a knife and a bowl on the counter.
1260,An image of a man standing in a kitchen with a knife and a bowl on the counter.
1320,An image of a person standing in a kitchen with a sink and a microwave
1380,"An image of a kitchen with a sink, a microwave, and a trash can"
1440,An image of a kitchen with a sink and a microwave
1500,An image of a kitchen with a sink and a microwave
1560,An image of a kitchen with a sink and a microwave
1620,"An image of a kitchen with a sink, a microwave, and a garbage can"
1680,An image of a kitchen with a sink and a microwave
1740,An image of a kitchen with a sink and a microwave
1800,An image of a kitchen with a sink and a microwave
1860,An image of a kitchen with a sink and a microwave
1920,An image of a kitchen with a person standing in the doorway
1980,An image of a kitchen with a person standing in the doorway
2040,An image of a kitchen with a person standing in the doorway
2100,An image of a kitchen with a person standing in the background
2160,An image of a kitchen with a sink and a door
2220,An image of a kitchen with a person standing in the doorway
2280,An image of a kitchen with a person standing in the doorway
2340,An image of a kitchen with a person standing in the doorway
2400,An image of a kitchen with a person standing in the doorway
2460,An image of a kitchen with a person walking by
2520,An image of a kitchen with a person walking by
2580,An image of a kitchen with a person standing in the doorway
2640,An image of a kitchen with a person standing in the background
2700,An image of a kitchen with a person standing in the background
2760,An image of a kitchen with a person standing in the background
2820,An image of a kitchen with a person standing in the background
2880,An image of a kitchen with a person standing in the background
2940,An image of a kitchen with a person standing in the background
3000,An image of a person standing in a small kitchen
3060,An image of a person standing in a tiny kitchen
3120,An image of a person standing in a kitchen
3180,An image of a person walking into a kitchen with a knife and a bowl on the counter.
3240,An image of a person walking into a kitchen with a sink and a garbage can.
3300,An image of a person standing in a kitchen with a wheelchair
3360,An image of a person walking into a kitchen
3420,An image of a man walking into a kitchen
3480,An image of a man walking into a kitchen with a knife and a bowl on the counter.
3540,An image of a man walking into a kitchen with a knife and a bowl.
3600,An image of a man throwing a plate into the sink
3660,An image of a person walking into a kitchen with a knife and a bowl on the counter.
3720,An image of a man walking into a kitchen with a knife and a bowl on the counter.
3780,An image of a man walking into a kitchen with a knife and a bowl on the counter.
