frame,caption
0,An image of a kitchen with a chess board and a knife on a table
60,"An image of a chessboard and a knife on a table, taken from a video by the researchers"
120,An image of a knife and a chair in a kitchen
180,An image of a person opening a drawer in a kitchen
240,An image of a knife and a spatula on a kitchen counter
300,An image of a kitchen sink and a knife
360,An image of a kitchen with a knife and a bowl on the counter
420,An image of a person walking into a kitchen with a knife and a bottle
480,An image of a knife and a bowl in a kitchen
540,An image of a kitchen with a knife and a person standing in the background
600,"An image of a knife and a bowl on a kitchen counter, with a person standing in the background."
660,An image of a knife and a spoon in a kitchen
720,An image of a knife and a spoon in a kitchen
780,An image of a knife and a bottle being dropped into a sink
840,An image of a knife and a wooden spoon on a kitchen counter
900,An image of a knife and a wooden spoon in a kitchen
960,An image of a knife and a wooden spoon in a kitchen
1020,An image of a knife and a wooden spoon in a kitchen
1080,An image of a kitchen with a knife and a wooden spoon on the counter
1140,An image of a knife and a person in a kitchen
1200,An image of a knife and a wooden spoon in a kitchen
1260,An image of a knife and a wooden spoon in a kitchen
1320,An image of a knife and a wooden spoon in a kitchen
1380,An image of a knife and a wooden cutting board in a kitchen
1440,An image of a knife and a wooden cutting board on a kitchen counter
1500,An image of a knife and a wooden spoon on a kitchen counter
1560,An image of a knife and a cup on a kitchen counter
1620,An image of a knife and a cup on a kitchen counter
1680,"An image of a knife and a wooden spoon on a kitchen counter, with a person standing in the background."
1740,An image of a knife and a wooden spoon on a kitchen counter
1800,An image of a knife and a wooden spoon on a kitchen counter
1860,An image of a kitchen with a knife and a wooden spoon on the counter
1920,An image of a knife and a wooden spoon on a kitchen counter
1980,An image of a knife and a wooden spoon on a kitchen counter
2040,"An image of a knife and a wooden cutting board on a kitchen counter, with a person standing in the background."
2100,An image of a knife and a cup on a kitchen counter
2160,"An image of a knife and a bowl on a kitchen counter, taken from a video by a person standing in the doorway."
2220,An image of a knife and a wooden spoon on a kitchen counter
2280,"An image of a knife and a bowl on a kitchen counter, with a person standing in the background."
2340,An image of a knife and a wooden spoon on a kitchen counter
2400,An image of a knife and a wooden spoon on a kitchen counter
2460,An image of a knife and a wooden cutting board in a kitchen
2520,An image of a knife and a cup on a kitchen counter
2580,"An image of a knife and a wooden spoon on a kitchen counter, with a person standing in the background."
2640,An image of a knife and a wooden spoon on a kitchen counter
2700,An image of a knife and a wooden spoon on a kitchen counter
2760,An image of a knife and a wooden spoon in a kitchen
2820,An image of a knife and a wooden cutting board in a kitchen
2880,An image of a knife and a wooden cutting board in a kitchen
2940,An image of a knife and a wooden cutting board in a kitchen
3000,An image of a knife and a wooden cutting board in a kitchen
3060,An image of a knife and a wooden spoon on a kitchen counter
3120,An image of a knife and a wooden spoon on a kitchen counter
3180,An image of a knife and a wooden spoon in a kitchen
3240,An image of a person walking into a kitchen with a knife on the counter and a basket of knives on a shelf.
3300,An image of a man opening a kitchen door and a knife on the counter
3360,An image of a woman stealing a knife from a kitchen counter
3420,An image of a woman stealing a knife from a kitchen sink.
3480,An image of a knife and a wooden spoon in a kitchen
3540,An image of a person standing in a kitchen with a knife and a wooden spoon
3600,An image of a knife and a cutting board being thrown into a dishwasher
3660,An image of a knife and a wooden spoon in a kitchen
3720,An image of a knife and a wooden spoon in a kitchen
3780,An image of a man walking into a kitchen and looking at a knife.
3840,An image of a person cleaning a kitchen sink
3900,An image of a person standing in a kitchen with a knife and a wooden spoon
3960,An image of a person walking into a kitchen with a wooden spoon
4020,An image of a man standing in a kitchen with a knife and a wooden spoon
4080,An image of a person standing in a kitchen with a wooden spoon and a sink
4140,An image of a man standing over a sink with a wooden spoon
4200,An image of a man cleaning a kitchen sink with a toothbrush.
4260,An image of a man cleaning a kitchen sink with a brush.
4320,An image of a man washing his hands in a sink.
4380,An image of a man washing his hands in the kitchen
4440,An image of a man washing his hands in the kitchen sink.
4500,An image of a man washing his hands
4560,An image of a man cutting a piece of meat on a cutting board.
4620,An image of a man cleaning a kitchen sink with a sponge and a brush.
4680,An image of a man cleaning a cutting board with a brush.
4740,An image of a man cleaning a kitchen sink with a brush.
4800,An image of a man using a hammer to break a sink.
4860,An image of a man cleaning a kitchen sink with a cloth.
4920,An image of a woman cleaning a kitchen sink with a cloth and a brush.
4980,An image of a person cleaning a kitchen sink with a brush.
5040,An image of a person standing over a sink with a wooden spoon
5100,An image of a person walking into a kitchen with a knife
5160,An image of a person standing in a kitchen with a knife in the sink and a broom in the kitchen.
5220,An image of a person standing in a kitchen with a knife and a wooden spoon
5280,An image of a man standing in a kitchen with a knife in his hand and a cat in the background
5340,An image of a man sitting on a chair in a kitchen and a knife on the counter
5400,An image of a man standing in a kitchen with a knife and a wooden spoon
5460,An image of a man standing in a kitchen with a knife and a spoon
5520,An image of a man standing in a kitchen with a knife and a toothbrush
5580,An image of a person standing in a kitchen with a knife and a wooden spoon
5640,An image of a person standing in a kitchen with a knife on the counter and a broom in the background.
5700,An image of a man standing in a kitchen with a knife in his hand and a wooden spoon on the counter.
