frame,caption
0,An image of a woman and a child in a police station
60,An image of a man and a woman playing a game of chess on a kitchen table.
120,An image of a man holding a chessboard in a kitchen
180,An image of a man being robbed in a kitchen
240,An image of a man stealing a checkerboard from a kitchen.
300,"An image of a kitchen with a sink, a table, and a chair"
360,An image of a kitchen with a child standing in the doorway.
420,An image of a man walking into a kitchen with a knife
480,An image of a man standing in a kitchen with his face blurred out.
540,An image of a man standing in a kitchen with his face blurred out.
600,An image of a man entering a kitchen with a knife
660,An image of a man opening a door in a kitchen
720,An image of a man holding a knife in a kitchen
780,An image of a man standing in a kitchen with a knife in his hand.
840,An image of a man being arrested by police in a kitchen
900,An image of a man being led away by police in a kitchen
960,An image of a man being arrested by police in a kitchen
1020,An image of a man being arrested by police in a kitchen
1080,An image of a man walking into a kitchen with a knife
1140,An image of a man standing in a kitchen with a knife in his hand
1200,An image of a man standing in a kitchen with a wine bottle and a knife
1260,An image of a man standing in a kitchen with a bottle and a knife on the counter.
1320,An image of a man standing in a kitchen with a knife in his hand.
1380,An image of a man standing in a kitchen with his head against a wall.
1440,An image of a man standing in a kitchen with a door open
1500,An image of a man entering a kitchen with a door open.
1560,An image of a man entering a kitchen with a door open.
1620,An image of a man entering a kitchen with a door open.
1680,An image of a man entering a kitchen with a whiteboard
1740,An image of a man standing in a kitchen with a knife in his hand
1800,An image of a man entering a kitchen with a knife
1860,An image of a man standing in a kitchen with a door open
1920,An image of a man standing in a kitchen with a knife in his hand.
1980,An image of a man standing in a kitchen with a door open
2040,An image of a man entering a kitchen with a door open.
2100,An image of a man standing in a kitchen with a door open
2160,An image of a man standing in a kitchen with a door open
2220,An image of a man entering a kitchen with a door open.
2280,An image of a man standing in a kitchen with a door open
2340,An image of a man entering a kitchen with a door open.
2400,An image of a man standing in a kitchen with a whiteboard and a sink in the background.
2460,An image of a man standing in a kitchen with a knife in his hand
2520,An image of a man standing in a kitchen with a knife in his hand.
2580,An image of a man standing in a kitchen with a knife in his hand.
2640,An image of a man standing in a kitchen with a knife in his hand.
2700,An image of a man standing in a kitchen with a knife in his hand.
2760,An image of a man standing in a kitchen with a knife in his hand.
2820,An image of a man standing in a kitchen with a knife in his hand.
2880,An image of a man standing in a kitchen with a knife in his hand.
2940,"An image of a man in a striped prison uniform and a mask, standing in a kitchen."
3000,An image of a man standing in a kitchen with a knife in his hand.
3060,An image of a man standing in a kitchen with a knife in his hand.
3120,An image of a man stealing a bottle from a kitchen.
3180,An image of a man standing in a kitchen with his face blurred out.
3240,An image of a man standing in a kitchen with his face blurred out.
3300,An image of a man sitting at a kitchen table with a knife in his hand
3360,An image of a man is blurred out by the camera.
3420,An image of a man breaking into a home in the middle of the night.
3480,An image of a man entering a kitchen with a knife
3540,An image of a man standing in a kitchen with a knife in his hand.
3600,An image of a man standing in a kitchen with a knife in his hand.
3660,An image of a man throwing a box into a kitchen
3720,An image of a man standing in a kitchen with a knife in his hand.
3780,An image of a man standing in a kitchen with a knife in his hand.
3840,An image of a man standing in a kitchen with a knife in his hand.
3900,An image of a man cutting a piece of paper with a knife in a kitchen.
3960,An image of a man standing in a kitchen with a knife in his hand
4020,An image of a man walking into a kitchen with a knife
4080,An image of a man standing in a kitchen with a knife in his hand.
4140,An image of a man standing in a kitchen with a knife in his hand.
4200,An image of a man standing in a kitchen with a knife in his hand.
4260,An image of a man standing in a kitchen with a knife and a book in his hand.
4320,An image of a man standing in a kitchen with a knife in his hand.
4380,An image of a man standing in a kitchen with his face blurred out
4440,An image of a man standing in a kitchen with a knife in his hand.
4500,An image of a man standing in a kitchen with his face blurred out
4560,An image of a man standing in a kitchen with a knife in his hand.
4620,An image of a man standing in a kitchen with a knife and a book in his hand.
4680,An image of a man standing in a kitchen with a knife in his hand.
4740,An image of a man standing in a kitchen with a knife in his hand
4800,An image of a man standing in a kitchen with his hands over his face.
4860,An image of a man standing in a kitchen with his hands over his head
4920,An image of a man standing in a kitchen with his hands over his face
4980,An image of a man standing in a kitchen with a knife and a book in his hand.
5040,An image of a man standing in a kitchen with a knife and a book
5100,An image of a man standing in a kitchen with a knife in his hand.
5160,An image of a woman cutting a piece of meat in a kitchen.
5220,An image of a man standing in a kitchen with a knife in his hand.
5280,An image of a man sitting at a kitchen table with a knife in his hand.
5340,An image of a kitchen with a person sitting at a table and a knife on the table
5400,An image of a kitchen with a child sitting at a table and a knife on the table
5460,An image of a man in a kitchen with a knife and a book
5520,An image of a man in a kitchen with a knife and a book
5580,An image of a man stealing a bag of groceries from a kitchen.
5640,An image of a man stealing a bag of meat from a kitchen
5700,An image of a man stealing a package from a kitchen
5760,An image of a man standing in a kitchen with a knife in his hand.
5820,An image of a man standing in a kitchen with a knife and a book
5880,An image of a man cutting up meat in a kitchen
5940,An image of a man standing in a kitchen with a knife in his hand.
6000,An image of a man cutting up meat in a kitchen
6060,An image of a man stealing a package of meat from a kitchen.
6120,An image of a man standing in a kitchen with a knife in his hand.
6180,An image of a man cutting meat in a kitchen
6240,An image of a man cutting meat in a kitchen
6300,An image of a man opening a fridge in a kitchen
6360,An image of a man standing in a kitchen with a knife in his hand.
6420,An image of a man standing in a kitchen with his hands on the fridge and a knife in his hand.
6480,An image of a man standing in a kitchen with a knife in his hand.
6540,An image of a man standing in a kitchen with a knife in his hand.
6600,An image of a man standing in a kitchen with a knife in his hand.
6660,An image of a man standing in a kitchen with his hands held behind his back.
6720,An image of a man standing in a kitchen with a knife in his hand.
6780,An image of a man standing in a kitchen with a knife in his hand.
6840,An image of a man opening a bag of food in a kitchen
6900,An image of a man standing in a kitchen with a knife in his hand.
6960,An image of a man standing in a kitchen with a knife in his hand.
7020,An image of a man opening a refrigerator in a kitchen
7080,An image of a man cutting meat in a kitchen
7140,An image of a man cutting a tomato in a kitchen
7200,An image of a man cutting tomatoes in a kitchen
7260,An image of a man cutting meat in a kitchen
7320,An image of a man cutting a tomato in a kitchen
7380,An image of a man cutting a tomato on a cutting board in a kitchen.
7440,An image of a man standing in a kitchen with a tomato on a cutting board.
7500,An image of a man stealing a tomato from a kitchen
7560,An image of a man standing in a kitchen with a tomato on a cutting board.
7620,An image of a man stealing a tomato from a kitchen
7680,An image of a man standing in a kitchen with a red apple on the table and a white board in the background.
7740,An image of a man standing in a kitchen holding a tablet.
7800,An image of a man cutting a tomato on a cutting board in a kitchen.
7860,An image of a man cutting an apple on a kitchen counter.
7920,An image of a man cutting a tomato on a cutting board in a kitchen.
7980,An image of a man cutting an apple on a kitchen counter.
8040,An image of a man cutting a tomato with a knife in a kitchen.
8100,An image of a man using a knife to cut a tomato in a kitchen.
8160,An image of a man cutting a tomato on a cutting board in a kitchen.
8220,An image of a man cutting a tomato with a knife in a kitchen.
8280,An image of a man cutting a tomato in a kitchen.
8340,An image of a man cutting a tomato with a knife in a kitchen.
8400,An image of a man chopping a tomato in a kitchen
8460,An image of a man using a knife to cut a plate.
8520,An image of a man cutting a tomato with a knife in a kitchen.
8580,An image of a man using a knife to cut a tomato in a kitchen.
8640,An image of a man cutting a tomato in a kitchen
8700,An image of a man using a knife to cut a tomato on a kitchen counter.
8760,An image of a man using a knife to cut a plate.
8820,An image of a man using a knife to cut a plate.
8880,An image of a man using a knife to cut a tomato in a kitchen.
8940,An image of a man cutting a pizza in a kitchen
9000,An image of a man using a power tool in a kitchen.
9060,An image of a man cutting a tomato on a kitchen counter.
9120,An image of a man cutting a tomato in a kitchen
9180,An image of a man cutting a tomato in a kitchen.
9240,An image of a man cutting an apple on a cutting board in a kitchen.
9300,An image of a man chopping a tomato in a kitchen
9360,An image of a man cutting a tomato in a kitchen
9420,An image of a man cutting tomatoes in a kitchen
9480,An image of a man cutting a tomato on a cutting board in a kitchen.
9540,An image of a man cutting tomatoes in a kitchen
9600,An image of a man cutting tomatoes in a kitchen
9660,An image of a man cutting a tomato in a kitchen
9720,An image of a man cutting a tomato in a kitchen
9780,An image of a man cutting tomatoes in a kitchen
9840,An image of a man chopping tomatoes in a kitchen.
9900,An image of a man cutting a tomato on a cutting board in a kitchen.
9960,An image of a man cutting a tomato in a kitchen
10020,An image of a man cutting a tomato on a cutting board in a kitchen.
10080,An image of a man cutting a tomato in a kitchen
10140,An image of a man chopping a tomato in a kitchen
10200,An image of a man cutting a tomato with a knife in a kitchen.
