frame,caption
0,An image of a woman standing in a room with a black stove and a white table.
60,An image of a person standing in a kitchen with a chess board and a stove
120,An image of a person standing in a kitchen with a black stove and a white table.
180,An image of a man walking into a kitchen with a black stove and a white counter.
240,An image of a person walking around a kitchen with a knife
300,An image of a kitchen from a drone
360,An image of a person standing in a kitchen with a black stove and a refrigerator.
420,An image of a man walking into a kitchen with a stove and a sink.
480,An image of a man walking into a kitchen with a knife
540,An image of a man walking into a kitchen with a knife
600,An image of a man standing in a kitchen with a knife in his hand
660,An image of a man standing in a kitchen with a knife
720,An image of a man standing in a kitchen with a stove and a refrigerator
780,An image of a man walking into a kitchen
840,An image of a man and a woman walking into a kitchen
900,An image of a man walking into a kitchen with a stove and a refrigerator.
960,An image of a man walking into a kitchen with a woman standing behind him.
1020,An image of a man and a woman standing in a kitchen
1080,An image of a man walking into a kitchen
1140,An image of a man standing in a kitchen with a stove and a sink.
1200,An image of a man standing in a kitchen with a stove and a sink.
1260,An image of a man standing in a kitchen with a stove and a sink.
1320,An image of a man standing in a kitchen with a knife in his hand
1380,An image of a man standing in a kitchen with a knife in his hand
1440,An image of a man standing in a kitchen with a knife in his hand
1500,An image of a man standing in a kitchen with a stove and a sink
1560,An image of a man standing in a kitchen with a knife in his hand
1620,An image of a man standing in a kitchen with a knife in his hand
1680,An image of a man standing in a kitchen with a knife in his hand
1740,An image of a man standing in a kitchen with a knife in his hand
1800,An image of a man standing in a kitchen with a stove and a refrigerator
1860,An image of a man standing in a kitchen with a knife in his hand
1920,An image of a man standing in a kitchen with a knife in his hand and a bottle on the counter.
1980,An image of a man standing in a kitchen with a knife in his hand
2040,An image of a kitchen with a stove top oven
2100,An image of a man standing in a kitchen with a knife in his hand and a bottle on the counter.
2160,An image of a kitchen counter and a stove with a person standing on the other side of the counter
2220,An image of a man standing in a kitchen with a knife in his hand and a bottle on the counter.
2280,An image of a man standing in a kitchen with a knife in his hand
2340,An image of a kitchen with a stove top oven
2400,An image of a kitchen with a stove top oven
2460,An image of a man stealing a microwave from a kitchen
2520,An image of a man cleaning a kitchen counter
2580,An image of a man stealing a bottle from a kitchen
2640,An image of a man stealing a microwave from a kitchen
2700,An image of a man stealing a bottle from a kitchen counter.
2760,An image of a woman opening a bottle in a kitchen
2820,An image of a man cleaning a kitchen counter
2880,An image of a person cleaning a stove top with a rag.
2940,An image of a man stealing a bottle from a kitchen counter.
3000,An image of a man pouring a drink from a bottle into a glass
3060,An image of a man standing in a kitchen with a knife in his hand and a bottle on the counter.
3120,An image of a man cleaning a stove with a rag.
3180,An image of a man standing in a kitchen with a knife in his hand
3240,An image of a man using a metal detector in a kitchen
3300,An image of a man breaking into a home in the middle of the night.
3360,An image of a man stealing a microwave from a kitchen.
3420,An image of a man cleaning a stove with a rag.
3480,An image of a man walking into a kitchen with a knife
3540,An image of a man walking into a kitchen with a knife
3600,An image of a man standing in a kitchen with a knife in his hand
3660,An image of a man stealing a pizza from a kitchen
3720,An image of a man standing in a kitchen with a book and a bottle
3780,An image of a man standing in a kitchen with a knife
3840,An image of a man breaking into a kitchen
3900,An image of a man stealing a knife from a kitchen counter.
3960,An image of a man standing in a kitchen with a stove and a sink.
4020,An image of a man walking into a kitchen with a knife
4080,An image of a man standing in a kitchen with a knife in his hand
4140,An image of a man standing in a kitchen with a knife in his hand
4200,An image of a man standing in a kitchen with a knife in his hand
4260,An image of a man standing in a kitchen with a knife and a book
4320,An image of a man standing in a kitchen with a knife in his hand
4380,An image of a man standing in a kitchen with a knife
4440,An image of a man standing in a kitchen with a stove and a sink.
4500,An image of a man standing in a kitchen with a knife and a book
4560,An image of a man standing in a kitchen with a knife in his hand
4620,An image of a man standing in a kitchen with a knife and a book
4680,An image of a man standing in a kitchen with a knife in his hand
4740,An image of a man standing in a kitchen with a knife and a book
4800,An image of a man walking into a kitchen with a knife
4860,An image of a man walking into a kitchen with a knife
4920,An image of a man standing in a kitchen with a knife in his hand
4980,An image of a man standing in a kitchen with a knife and a bottle on the counter.
5040,An image of a man standing in a kitchen with a knife in his hand
5100,An image of a man opening a door with a crowbar
5160,An image of a man standing in a kitchen with a knife in his hand and a book in his hand.
5220,An image of a man standing in a kitchen with a stove and a sink.
5280,An image of a man stealing a laptop from a kitchen
5340,An image of a man standing in a kitchen with a knife in his hand
5400,An image of a man stealing a microwave from a kitchen.
5460,An image of a man standing in a kitchen with a knife in his hand
5520,An image of a man sitting at a kitchen counter with a knife in his hand.
5580,An image of a man stealing a bag of groceries from a store.
5640,An image of a man stealing a baby from a kitchen
5700,An image of a man stealing a microwave from a kitchen
5760,An image of a man stealing a microwave from a kitchen
5820,An image of a man stealing a microwave from a kitchen
5880,An image of a man stealing a microwave from a kitchen
5940,An image of a man stealing a microwave from a kitchen
6000,An image of a man stealing a microwave from a kitchen
6060,An image of a man stealing a microwave from a kitchen
6120,An image of a man stealing a bottle from a kitchen
6180,An image of a man stealing a microwave from a kitchen
6240,An image of a man stealing a bag of groceries from a kitchen.
6300,An image of a man stealing a microwave from a kitchen
6360,An image of a man stealing a microwave from a kitchen
6420,An image of a man stealing a microwave from a kitchen
6480,An image of a man stealing a microwave from a kitchen
6540,An image of a man stealing a bag of groceries from a kitchen.
6600,An image of a man stealing a microwave from a kitchen
6660,An image of a man stealing a microwave from a kitchen
6720,An image of a man stealing a microwave from a kitchen
6780,An image of a man stealing a microwave from a kitchen
6840,An image of a man stealing a bag of groceries from a kitchen.
6900,An image of a man stealing a bag of groceries from a kitchen counter.
6960,An image of a man stealing a microwave from a kitchen
7020,An image of a man stealing a microwave from a kitchen
7080,An image of a man holding a baby in a kitchen
7140,An image of a man throwing a bottle on the kitchen counter
7200,An image of a man cleaning a stove with a rag.
7260,An image of a man cooking in a kitchen
7320,An image of a man stealing a tomato from a kitchen
7380,An image of a man standing in a kitchen with a knife and a red pepper
7440,An image of a man standing in a kitchen with a knife and a book
7500,An image of a man stealing a knife from a kitchen counter.
7560,An image of a man walking into a kitchen with a knife and a pepper on the counter.
7620,An image of a man walking into a kitchen with a knife
7680,An image of a man standing in a kitchen with a knife and a bottle on the counter.
7740,An image of a man standing in a kitchen with a paper and a knife
7800,An image of a man standing in a kitchen with a plate and a knife
7860,An image of a man cleaning a stove with a rag.
7920,An image of a man cleaning a stove and a sink in a kitchen.
7980,An image of a man standing in a kitchen with a knife and a plate.
8040,An image of a man cleaning a stove with a rag.
8100,An image of a man cleaning a stove with a rag and a spray bottle.
8160,An image of a man cleaning a kitchen counter with a spray bottle.
8220,An image of a man standing in a kitchen with a knife and a plate
8280,An image of a man cleaning a stove with a rag.
8340,An image of a man standing in a kitchen with a knife and a plate
8400,An image of a man standing in a kitchen with a knife and a bottle
8460,An image of a person standing in a kitchen with a knife and a bottle
8520,An image of a man standing in a kitchen with a knife and a bottle
8580,An image of a man standing in a kitchen and holding a bottle.
8640,An image of a man standing in a kitchen with a knife and a bowl.
8700,An image of a man cleaning a kitchen counter with a red sponge.
8760,An image of a man standing in a kitchen and using a knife to cut a tomato.
8820,An image of a man cleaning a kitchen counter
8880,"An image of a man standing in a kitchen, holding a red bottle and pouring a liquid onto a plate."
8940,An image of a man cleaning a stove with a rag.
9000,An image of a man cleaning a stove with a rag.
9060,An image of a man standing in a kitchen and reaching for a red bottle.
9120,An image of a man cleaning a stove with a rag.
9180,"An image of a man standing in a kitchen, holding a knife and preparing to cut a tomato."
9240,An image of a man cleaning a stove with a rag.
9300,An image of a man standing in a kitchen and cutting tomatoes.
9360,An image of a man cleaning a stove with a rag.
9420,An image of a man cleaning a stove and oven
9480,"An image of a man standing in a kitchen, holding a tomato and cutting it up."
9540,An image of a man standing in a kitchen and preparing food.
9600,An image of a man standing in a kitchen with a knife and a bowl
9660,An image of a man standing in a kitchen with a knife and a plate.
9720,An image of a man cleaning a stove and a sink in a kitchen.
9780,An image of a man cleaning a kitchen counter
9840,An image of a man cleaning a kitchen counter
9900,An image of a man cutting a pizza in a kitchen
9960,An image of a man cleaning a kitchen counter
10020,"An image of a man standing in a kitchen, holding a knife and preparing to cut a tomato."
10080,An image of a man standing in a kitchen and pouring a red liquid into a bowl.
10140,"An image of a man standing in a kitchen, holding a red cup and pouring a drink into a cup."
10200,An image of a man cleaning a stove with a rag.
10260,An image of a man cleaning a stove with a rag.
10320,An image of a man standing in a kitchen and cutting tomatoes.
10380,An image of a man standing in a kitchen with a knife and a plate.
10440,An image of a man standing in a kitchen with a knife and a plate
10500,An image of a man standing in a kitchen with a knife and a bowl of tomatoes
10560,An image of a man standing in a kitchen with a knife and a bowl of tomatoes
10620,"An image of a man standing in a kitchen, holding a tomato and cutting it up."
10680,An image of a man cleaning a kitchen counter
10740,An image of a man standing in a kitchen with a knife and a plate
10800,"An image of a man standing in a kitchen, preparing food."
10860,An image of a man pouring a bottle of red wine into a white wine glass.
10920,"An image of a man standing in a kitchen, holding a knife and cutting tomatoes."
10980,An image of a man standing in a kitchen and putting tomatoes on a plate.
11040,An image of a man cutting tomatoes on a cutting board in a kitchen.
11100,An image of a man cleaning a stove with a rag.
11160,An image of a man cleaning a stove with a rag.
11220,An image of a man standing in a kitchen and preparing food.
11280,An image of a man cleaning a kitchen counter with a rag and a plate of food.
11340,"An image of a man standing in a kitchen, holding a knife and preparing food."
11400,An image of a man standing in a kitchen and cutting a piece of fruit.
11460,An image of a man cleaning a stove with a rag.
11520,An image of a man cleaning a stove with a rag.
11580,"An image of a man standing in a kitchen, holding a knife and cutting a tomato."
11640,An image of a man cleaning a kitchen counter
11700,An image of a man standing in a kitchen with a knife and a plate.
11760,An image of a man cleaning a kitchen counter
11820,An image of a man cleaning a kitchen counter with a sponge and a rag.
11880,An image of a man standing in a kitchen with a knife and a plate
11940,An image of a man cutting tomatoes on a kitchen counter.
12000,"An image of a man standing in a kitchen, holding a knife and cutting tomatoes."
12060,An image of a man standing in a kitchen with a knife and a plate
12120,"An image of a man standing in a kitchen, holding a knife and preparing food."
12180,An image of a man cleaning a stove with a rag.
12240,An image of a man cleaning a kitchen counter with a rag.
12300,An image of a man cleaning a stove with a rag.
12360,An image of a man cleaning a stove with a rag.
12420,An image of a man cutting tomatoes on a kitchen counter.
12480,An image of a man cutting a piece of meat on a kitchen counter.
12540,An image of a man cutting a tomato on a cutting board
12600,An image of a man cutting tomatoes on a cutting board.
12660,An image of a man chopping tomatoes on a cutting board.
12720,An image of a man standing in a kitchen with a plate of food.
12780,An image of a man cleaning a stove with a rag.
12840,An image of a man cleaning a kitchen counter with a red rag.
12900,"An image of a man standing in a kitchen, holding a knife and a plate of food."
12960,An image of a person cleaning a kitchen counter with a red rag.
13020,An image of a man cooking food in a kitchen
13080,"An image of a man standing in a kitchen, holding a knife and a plate of food."
13140,An image of a man standing in a kitchen and preparing food.
13200,"An image of a man standing in a kitchen, holding a knife and a plate of food."
13260,An image of a man cutting tomatoes on a cutting board in a kitchen.
13320,An image of a man cutting tomatoes on a cutting board in a kitchen.
13380,"An image of a man standing in a kitchen, holding a tomato and cutting it on a cutting board."
13440,An image of a man cleaning a stove with a rag.
13500,An image of a man chopping tomatoes on a cutting board
13560,"An image of a person standing in a kitchen, preparing food."
13620,"An image of a man standing in a kitchen, preparing food."
13680,An image of a man chopping tomatoes on a cutting board in a kitchen.
13740,An image of a man cutting tomatoes on a cutting board.
13800,"An image of a man standing in a kitchen, preparing food."
13860,"An image of a man standing in a kitchen, preparing food."
13920,"An image of a man standing in a kitchen, preparing a plate of food."
13980,"An image of a man standing in a kitchen, holding a plate of food."
14040,An image of a man cleaning a plate in a kitchen
14100,"An image of a man standing in a kitchen, preparing food."
14160,An image of a man standing in a kitchen and cutting tomatoes on a cutting board.
14220,An image of a man cutting tomatoes on a cutting board
14280,"An image of a man standing in a kitchen, preparing food."
14340,"An image of a person standing in a kitchen, preparing food."
14400,"An image of a person standing in a kitchen, preparing food."
14460,An image of a person cutting tomatoes on a cutting board.
14520,"An image of a man standing in a kitchen, holding a bottle and pouring red liquid onto a plate."
14580,An image of a man chopping tomatoes on a kitchen counter
14640,"An image of a man standing in a kitchen, holding a plate of food."
14700,An image of a person cutting tomatoes on a cutting board.
14760,"An image of a man standing in a kitchen, preparing food."
14820,An image of a man cutting tomatoes on a cutting board.
14880,An image of a man cooking a meal in a kitchen
14940,"An image of a man standing in a kitchen, preparing food."
15000,An image of a man standing in a kitchen and preparing food.
15060,An image of a man standing in a kitchen and cutting tomatoes on a plate.
15120,"An image of a man standing in a kitchen, holding a knife and cutting tomatoes on a plate."
15180,"An image of a man standing in a kitchen, holding a plate of food."
15240,An image of a man standing in a kitchen with a plate of food.
15300,"An image of a man standing in a kitchen, holding a knife and cutting a tomato."
15360,"An image of a man standing in a kitchen, holding a tomato and cutting it up."
15420,"An image of a person standing in a kitchen, preparing food."
15480,An image of a man cutting tomatoes on a cutting board
15540,"An image of a man standing in a kitchen, holding a knife and a plate of food."
15600,"An image of a man standing in a kitchen, cutting tomatoes on a cutting board."
15660,An image of a man cutting tomatoes on a cutting board
15720,An image of a person cutting tomatoes on a cutting board.
15780,An image of a man cutting tomatoes on a cutting board.
15840,An image of a man chopping tomatoes on a kitchen counter
15900,An image of a man cutting red peppers on a cutting board.
15960,"An image of a man standing in a kitchen, holding a knife and a plate of food."
16020,An image of a man cutting tomatoes on a cutting board.
16080,An image of a man cutting tomatoes on a cutting board in a kitchen.
16140,An image of a man cutting tomatoes on a cutting board.
16200,An image of a man cutting red peppers on a cutting board
16260,An image of a man preparing food in a kitchen
16320,An image of a man standing in a kitchen and cutting a red substance with a knife.
16380,An image of a man cutting tomatoes on a cutting board
16440,An image of a man chopping vegetables in a kitchen
16500,An image of a man cutting tomatoes on a plate
16560,An image of a man cutting tomatoes on a plate
16620,An image of a man preparing food in a kitchen
16680,An image of a man cooking a meal in a kitchen
16740,An image of a man standing in a kitchen with a plate of food
16800,An image of a man cooking a meal in a kitchen
16860,An image of a person standing in a kitchen with a plate of food.
16920,An image of a man standing in a kitchen with a plate of food.
16980,An image of a man standing in a kitchen with a plate of food
17040,An image of a man cooking food in a kitchen
17100,An image of a man standing in a kitchen with a plate of food
17160,An image of a man standing in a kitchen with a plate of food.
17220,An image of a man standing in a kitchen with a plate of food
17280,An image of a man standing in a kitchen with a plate of tomatoes
17340,"An image of a man standing in a kitchen, holding a yellow cup and a plate of red peppers."
17400,An image of a man cooking food in a kitchen
17460,An image of a man cooking food in a kitchen
17520,An image of a man chopping tomatoes on a kitchen counter.
17580,An image of a man chopping tomatoes on a kitchen counter.
17640,"An image of a man standing in a kitchen, preparing food."
17700,An image of a person standing in a kitchen with a plate of food.
17760,An image of a man preparing food in a kitchen
17820,An image of a man preparing food in a kitchen
17880,An image of a person cooking food in a kitchen
17940,An image of a man standing in a kitchen with a plate of tomatoes
18000,An image of a man standing in a kitchen with a plate of tomatoes
18060,An image of a man preparing food in a kitchen
18120,An image of a man preparing food in a kitchen
18180,An image of a man preparing food in a kitchen
18240,An image of a man cooking a meal in a kitchen
18300,An image of a man preparing food in a kitchen
18360,An image of a man preparing a dish in a kitchen
18420,An image of a person cooking in a kitchen
18480,An image of a man pouring a glass of milk into a bowl of strawberries.
18540,"An image of a man standing in a kitchen, preparing food."
18600,An image of a man cooking a meal in a kitchen
18660,An image of a man cooking food in a kitchen
18720,An image of a man cooking a meal in a kitchen
18780,An image of a man cooking a meal in a kitchen
18840,An image of a man cooking food in a kitchen
18900,An image of a man cooking a meal in a kitchen
18960,An image of a man cooking in a kitchen
19020,An image of a man cooking food in a kitchen
19080,An image of a man chopping tomatoes on a kitchen counter.
19140,An image of a man chopping red peppers on a cutting board.
19200,An image of a man preparing food in a kitchen
19260,An image of a man cooking food in a kitchen
19320,An image of a man cooking a meal in a kitchen
19380,An image of a man cooking a meal in a kitchen
19440,An image of a man chopping tomatoes on a kitchen counter.
19500,An image of a man standing in a kitchen with a plate of food.
19560,An image of a man cooking food in a kitchen
19620,An image of a man cooking food in a kitchen
19680,An image of a man cooking food in a kitchen
19740,An image of a man chopping tomatoes on a kitchen counter.
19800,An image of a man cooking a meal in a kitchen
19860,An image of a man cooking a meal in a kitchen
19920,An image of a man preparing food in a kitchen
19980,An image of a man cooking food in a kitchen
20040,An image of a man cooking food in a kitchen
20100,An image of a man cooking in a kitchen
20160,"An image of a man standing in a kitchen, preparing food."
20220,An image of a man cooking a meal in a kitchen
20280,"An image of a man standing in a kitchen, preparing food."
20340,"An image of a man standing in a kitchen, preparing food."
20400,An image of a person cooking in a kitchen
20460,An image of a man standing in a kitchen with a plate of food
20520,"An image of a man standing in a kitchen, holding a bowl of tomatoes."
20580,"An image of a man standing in a kitchen, holding a bottle and a plate of tomatoes."
20640,An image of a person standing in a kitchen with a plate of food.
20700,An image of a man cooking a meal in a kitchen
20760,"An image of a woman standing in a kitchen, preparing food."
20820,An image of a person cooking in a kitchen
20880,"An image of a person standing in a kitchen, preparing food."
20940,An image of a man preparing food in a kitchen
21000,"An image of a man standing in a kitchen, preparing food."
21060,An image of a man cooking food in a kitchen
21120,An image of a man cooking in a kitchen
21180,An image of a man preparing food in a kitchen
21240,An image of a man preparing a meal in a kitchen
21300,An image of a man preparing a meal in a kitchen
21360,"An image of a person standing in a kitchen, preparing a meal."
21420,An image of a man pouring a glass of water into a plate of food.
21480,"An image of a man standing in a kitchen, preparing food."
21540,"An image of a person standing in a kitchen, preparing food."
21600,An image of a man preparing a meal in a kitchen
21660,An image of a man preparing a meal in a kitchen
21720,An image of a person preparing food in a kitchen
21780,An image of a man preparing a meal in a kitchen
21840,An image of a man cooking a meal in a kitchen
21900,An image of a man preparing food in a kitchen
21960,An image of a man preparing food in a kitchen
22020,An image of a man preparing food in a kitchen
22080,An image of a man cooking a meal in a kitchen
22140,An image of a man preparing a meal in a kitchen
22200,"An image of a person standing in a kitchen, preparing a pizza."
22260,An image of a man preparing a meal in a kitchen
22320,An image of a man preparing a meal in a kitchen
22380,An image of a man preparing a meal in a kitchen
22440,An image of a person preparing a meal in a kitchen
22500,An image of a man preparing a meal in a kitchen
22560,An image of a man preparing a meal in a kitchen
22620,"An image of a person standing in a kitchen, preparing food."
22680,"An image of a man standing in a kitchen, holding a lemon and a bowl of tomatoes."
22740,An image of a man standing in a kitchen with a plate of food
22800,An image of a man standing in a kitchen with a plate of food.
22860,An image of a man standing in a kitchen with a plate of food
22920,An image of a person standing in a kitchen with a plate of food
22980,"An image of a man standing in a kitchen, preparing a plate of food."
23040,An image of a man standing in a kitchen with a plate of food
23100,An image of a man standing in a kitchen with a plate of food
23160,An image of a plate of food is seen on a kitchen counter as a man stands nearby.
23220,An image of a plate of food is seen on a kitchen counter as a man stands in the background
23280,An image of a plate of food is seen on a kitchen counter as a man stands nearby.
23340,An image of a man standing in a kitchen with a plate of food
23400,An image of a plate of food is seen on a kitchen counter as a person stands nearby.
23460,An image of a plate of food being prepared in a kitchen
23520,An image of a plate of food is seen on a kitchen counter as a man stands nearby.
23580,An image of a plate of tomatoes
23640,An image of a plate of food is seen on a kitchen counter as a man stands nearby.
23700,An image of a person standing in a kitchen with a plate of food.
23760,An image of a plate of food is seen on a kitchen counter as a man stands nearby.
23820,An image of a plate of food
23880,An image of a plate of food is seen on a kitchen counter as a person stands nearby.
23940,An image of a person standing in a kitchen with a plate of food
24000,An image of a man standing in a kitchen with a plate of food
24060,An image of a man standing in a kitchen with a plate of food
24120,An image of a person standing in a kitchen with a plate of food.
24180,An image of a person standing in a kitchen with a plate of food
24240,An image of a person standing in a kitchen with a plate of food
24300,An image of a man standing in a kitchen with a plate of food
24360,An image of a man standing in a kitchen with a plate of food
24420,An image of a man standing in a kitchen with a plate of food
24480,An image of a man standing in a kitchen with a plate of food
24540,An image of a man standing in a kitchen with a plate of food.
24600,An image of a man standing in a kitchen with a plate of food
24660,An image of a man standing in a kitchen with a plate of food
24720,An image of a man standing in a kitchen with a plate of food
24780,An image of a man standing in a kitchen with a plate of food
24840,An image of a plate of food is seen on a kitchen counter as a person stands nearby.
24900,An image of a man standing in a kitchen with a plate of food
24960,An image of a man standing in a kitchen with a plate of tomatoes.
25020,An image of a man stealing a plate of food from a kitchen counter.
25080,An image of a man standing in a kitchen with a plate of food
25140,An image of a person standing in a kitchen with a plate of food.
25200,An image of a person walking into a kitchen with a plate of food.
25260,An image of a man sitting on a kitchen counter with a plate of food.
25320,An image of a man standing in a kitchen with a plate of food.
25380,An image of a man standing in a kitchen with a plate of food
25440,An image of a man walking into a kitchen and a plate of tomatoes on the counter
25500,An image of a man walking into a kitchen with a plate of food.
25560,An image of a man kneeling on the floor in a kitchen with a plate of food.
25620,An image of a man throwing tomatoes on a plate
25680,An image of a person standing in a kitchen with a plate of food.
25740,An image of a man standing in a kitchen with a plate of tomatoes.
25800,An image of a man standing in a kitchen with a plate of food.
25860,An image of a man standing in a kitchen with a plate of food.
25920,An image of a man cooking a meal in a kitchen
25980,An image of a man standing in a kitchen with a plate of food
26040,"An image of a man standing in a kitchen, holding a pan and a plate of food."
26100,An image of a man standing in a kitchen with a plate of food
26160,An image of a man standing in a kitchen with a plate of food.
26220,An image of a man standing in a kitchen with a plate of tomatoes.
26280,An image of a man standing in a kitchen with a plate of food
26340,"An image of a man standing in a kitchen, preparing a dish of tomatoes."
